Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Сом в томатном соусе. Консервы;126;12,9;6,3;4
Сом припущенный, по 1-346;121;18,2;5,4;0
Сомик канальный, американский, дикий;95;16,38;2,82;0
Сомик канальный, американский, дикий, приготовленный на жару;105;18,47;2,85;0
Сомик канальный, американский, жареный в панировке;229;18,09;13,33;7,34
Сомик канальный, американский, разведенный на ферме;119;15,23;5,94;0
Сомик канальный, американский, разведенный на ферме, приготовленный на жару;144;18,44;7,19;0
Спот, приготовленный на жару;158;23,73;6,28;0
Спот, сырой;123;18,51;4,9;0
Ставрида;114;18,5;4,5;0
Ставрида атлантическая холодного копчения;93,6;17,1;2,8;0
Ставрида в томатном соусе, консервы;110;14,8;2,3;7,3
Ставрида жареная, по 1-366;190;20,3;10,5;3,7
Ставрида обжаренная, в масле, консервы;309;15,6;27,4;0
Ставрида отварная, по 1-344;124;20;4,9;0
Ставрида припущенная, по 1-358;122;19,6;4,8;0
Ставрида тихоокеанская;158;20,07;7,89;0
Ставрида тихоокеанская консервированная, сухой продукт без маринада;156;23,19;6,3;0
Ставрида тихоокеанская, приготовленная на жару;201;25,73;10,12;0
Ставрида, все виды, сырая;146;23,14;5,24;0
Стерлядь, волжская;127;17,9;6,1;0
Стерлядь, сибирская;320;10,7;30,8;0
Судак;84;18,4;1,1;0
Судак в томатном соусе. Консервы;119;14;5,3;3,1
Судак отварной, по 1-342;96;20,5;1,2;0
Судак припущенный, по 1-346;89;19,6;1,2;0
Судак фаршированный, по 1-362;144;13,7;6;8,7
Судак, приготовленный на жару;119;24,54;1,56;0
Судак, сырой;93;19,14;1,22;0
Суп, рыбный, по-домашнему, (Аляска);72;7,4;2,2;5,6
Сурими;99;15,18;0,9;6,85
Сырок (пелядь), рыба;126;19,1;5,5;0
Таймень;119;18,9;4,8;0
Терпуг;102;17,8;3,4;0
Терпуг зубатый, приготовленный на жару;109;22,64;1,36;0
Терпуг зубатый, сырой;85;17,66;1,06;0
Терпуг, зубастый, змеезуб, мясо, сырое, (Аляска);79;17,9;0,8;0
