Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Йогурт 0% на Прослойке из Клубники [Ашан];41;4,4;0,1;5,5
Йогурт 2,7% [Ашан];91;3,1;2,7;13,7
Йогурт Bifidus [Ашан];64;3,8;3,5;4,3
Йогурт Fruits [Ашан];38;4,1;0,1;5,2
Йогурт Nature [Ашан];45;4;1,4;4,2
Йогурт Арома 0% [Ашан];37;4,3;0,1;4,7
Йогурт Бифидус [Ашан];64;3,8;3,2;4,3
Йогурт Ванильный [Ашан];111;4,3;4,5;13,2
Йогурт Натуральный 1,4% [Ашан];45;4;1,4;4,2
Йогурт Натуральный 2% [Ашан];57;3,5;2;6,2
Йогурт Обезжиренный [Ашан];37;4,3;0,1;4,7
Йогурт с Массовой Долей Жира 0% [Ашан];38;4,4;0,1;5,2
Йогурт со Вкусом Ванили [Ашан];97;3,9;2,1;15,5
Йогурт Черника [Ашан];83;3,3;2;13
Йогурт Яблоко Банан [Ашан];83;3,3;2;13
Кабачки [Ашан];27;0,6;0,3;5,7
Кабачки по-Домашнему [Ашан];50;0,5;2;8
Кабачки по-Тоскански [Ашан];65;1;3;9
Кабачки Фаршированные Курицей [Ашан];65;6,1;3;4,3
Кабачок [Ашан];24;0,6;0,3;4,6
Кабачок Фаршированный [Ашан];212;12;3;35
Кайзерка с Сыром [Ашан];267;8,2;0,9;54,9
Какао [Ашан];273;24,3;15;10,2
Какао Bio [Ашан];367;8;3,5;71
Какао Натуральный [Ашан];273;24,3;15;10,2
Какао-Крупка Тёмный Шоколад со Стевией [Ашан];459;5,6;33,8;33,1
Кальмар г/К с Пряностями [Ашан];87;20,7;0,6;0
Кальмар Г/К Со Специями [Ашан];94;15;3,8;0
Кальмар Гк [Ашан];335;38;25;0
Кальмар Горячего Копчения [Ашан];110;18;4,2;0
Кальмар Горячего Копчения Рулет [Ашан];335;38;25;0
Кальмар Горячего Копчения с Пряностями [Ашан];192;30;8;0
Кальмар Натуральный [Ашан];106;20;2;2
Кальмар по Шанхайски [Ашан];210;45;2;0
Кальмар Полоски с/с [Ашан];266;62;2;0
Кальмар со Вкусом Краба [Ашан];210;46;2;3
Кальмар Стружка [Ашан];266;62;2;0
Кальмар Сушеный [Ашан];301;70;1;3
Кальмары Сушеные [Ашан];191;45;0,3;2
Камамбер [Ашан];305;19;23,6;0,5
Камамбер Де Фамиль Фитнес [Ашан];205;24;12;0
Камбала [Ашан];83;16,5;1,8;0
Камбала Вяленая [Ашан];130;28;2;0
Каннеллони [Ашан];324;12;1;67
Каперсы [Ашан];23;2;0,4;1,1
Капкейк [Ашан];364;4,7;18,1;45,9
Капуста Брокколи Вес [Ашан];33;4,4;0,9;1,8
Капуста Квашеная [Ашан];19;1,8;0;3
